"contrast","state","gene","mean_response","rms_response","direction"
"T1D-control","acinar","TPSAB1",0.00356661176875395,0.00356661190650841,"up"
"T1D-control","acinar","CENPF",0.00320552100356173,0.00348838034447392,"up"
"T1D-control","acinar","KRTAP21-2",0.00333997136413341,0.0033399715126993,"up"
"T1D-control","alpha","IL33",-0.00329163315689481,0.00329163329062242,"down"
"T1D-control","alpha","KRTAP21-2",-0.00328437838234769,0.00328437843984243,"down"
"T1D-control","alpha","ORM2",-0.00325875100556166,0.00325875103788112,"down"
"T1D-control","acinar","TOP2A",0.00259856031785972,0.00259856048768679,"up"
"T1D-control","duct_major","CCL26",-0.00252105263764743,0.00252105334640998,"down"
"T1D-control","duct_major","TPSAB1",-0.00237929033156118,0.00237929053467734,"down"
"T1D-control","duct_major","IL33",-0.00212712167043763,0.00212712393914233,"down"
"T1D-control","duct_major","KRTAP21-2",-0.00212331399840419,0.0021233148237046,"down"
"T1D-control","duct_major","ORM2",-0.00210331598179561,0.0021033169019546,"down"
"T1D-control","acinar","UBE2C",0.00183352445921998,0.00183352469401358,"up"
"T1D-control","acinar","SAA2",0.00183200433615101,0.00183200437930802,"up"
"T1D-control","alpha","SAA2",-0.00158957218836685,0.00158957225087377,"down"
"T1D-control","duct_major","SAA2",-0.000994279333752056,0.000994280177022846,"down"
"T1D-control","beta_major","POSTN",0.000102984010866736,0.000102984010906681,"up"
"T1D-control","beta_major","PLA2G2A",0.000102984010866736,0.000102984010906681,"up"
"T1D-control","beta_major","PGA5",0.000102984010866736,0.000102984010906681,"up"
"T1D-control","beta_major","FCN3",0.000102984010866736,0.000102984010906681,"up"
"T1D-control","acinar","POSTN",2.32699614469275e-05,2.3269961464022e-05,"up"
"T1D-control","acinar","PLA2G2A",2.32699614469275e-05,2.3269961464022e-05,"up"
"T1D-control","acinar","PGA5",2.32699614469275e-05,2.3269961464022e-05,"up"
"T1D-control","acinar","FCN3",2.32699614469275e-05,2.3269961464022e-05,"up"
"T1D-control","alpha","POSTN",-2.18647779841076e-05,2.1864778001435e-05,"down"
"T1D-control","alpha","PLA2G2A",-2.18647779841076e-05,2.1864778001435e-05,"down"
"T1D-control","alpha","PGA5",-2.18647779841076e-05,2.1864778001435e-05,"down"
"T1D-control","alpha","FCN3",-2.18647779841076e-05,2.1864778001435e-05,"down"
"T1D-control","duct_major","POSTN",-1.5367543703754e-05,1.5367543935181e-05,"down"
"T1D-control","duct_major","PLA2G2A",-1.5367543703754e-05,1.5367543935181e-05,"down"
"T1D-control","duct_major","PGA5",-1.5367543703754e-05,1.5367543935181e-05,"down"
"T1D-control","duct_major","FCN3",-1.5367543703754e-05,1.5367543935181e-05,"down"
